county,state
Hoonah-Angoon,AK
Skagway,AK
Yakutat,AK
Dolores,CO
Kiowa,CO
Sedgwick,CO
Kalawao,HI
Butte,ID
Clark,ID
Rawlins,KS
Wallace,KS
Wichita,KS
Lake of the Woods,MN
Blaine,MT
Carter,MT
Chouteau,MT
Daniels,MT
Judith Basin,MT
McCone,MT
Mineral,MT
Petroleum,MT
Phillips,MT
Powder River,MT
Powell,MT
Prairie,MT
Sanders,MT
Sweet Grass,MT
Wibaux,MT
Arthur,NE
Blaine,NE
Brown,NE
Deuel,NE
Dundy,NE
Grant,NE
Hayes,NE
Logan,NE
Wheeler,NE
Esmeralda,NV
De Baca,NM
Adams,ND
Golden Valley,ND
Wheeler,OR
Harding,SD
Potter,SD
Borden,TX
Kent,TX
King,TX
Loving,TX
McMullen,TX
Stonewall,TX
Daggett,UT
Wayne,UT
Doddridge,WV
